step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
0,0.0,Cl,14.75832180443641,0.0,0.0,4.789058039023075e-09,3.75720205147978e-06
0,0.0,H,2187.459688780021,0.0,0.0,4.789058039023075e-09,3.75720205147978e-06
0,0.0,Na,14.75832180443641,0.0,0.0,4.789058039023075e-09,3.75720205147978e-06
0,0.0,O,1093.7298443900108,0.0,0.0,4.789058039023075e-09,3.75720205147978e-06
0,0.0,Zz,0.0,0.0,0.0,4.789058039023075e-09,3.75720205147978e-06
1,1.0,Cl,14.758321751374908,-5.306151884418101e-08,1.6985161308363474e-14,9.79127889877418e-09,3.7572021298615255e-06
1,1.0,H,2187.4596777071865,-1.1072834786677376e-05,9.1308137469665e-14,9.79127889877418e-09,3.7572021298615255e-06
1,1.0,Na,14.758321751374908,-5.306151884418101e-08,1.6985161308363474e-14,9.79127889877418e-09,3.7572021298615255e-06
1,1.0,O,1093.7298388535944,-5.536417393338688e-06,9.551487705077607e-13,9.79127889877418e-09,3.7572021298615255e-06
1,1.0,Zz,0.0,0.0,0.0,9.79127889877418e-09,3.7572021298615255e-06
2,2.0,Cl,14.758321708708687,-9.572774181958434e-08,1.91819225098461e-14,1.0629719326971099e-08,3.7572021298615255e-06
2,2.0,H,2187.4596688036327,-1.9976387471224078e-05,-1.0863280490002597e-12,1.0629719326971099e-08,3.7572021298615255e-06
2,2.0,Na,14.758321708708692,-9.572774182324648e-08,2.4514655174994304e-14,1.0629719326971099e-08,3.7572021298615255e-06
2,2.0,O,1093.7298344018182,-9.988193735377662e-06,1.0482173261978575e-12,1.0629719326971099e-08,3.7572021298615255e-06
2,2.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021298615255e-06
3,3.0,Cl,14.758321673382952,-1.310534865729759e-07,2.87094034297851e-14,1.0629719326971099e-08,3.7572021298615255e-06
3,3.0,H,2187.459661431888,-2.734813531324181e-05,2.0690102327811447e-12,1.0629719326971099e-08,3.7572021298615255e-06
3,3.0,Na,14.758321673382955,-1.3105348657663805e-07,3.2265779255533057e-14,1.0629719326971099e-08,3.7572021298615255e-06
3,3.0,O,1093.7298307159458,-1.367406765615215e-05,2.6256520896839226e-12,1.0629719326971099e-08,3.7572021298615255e-06
3,3.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021298615255e-06
4,4.0,Cl,14.758321643340324,-1.6109612057088553e-07,3.4766383675549216e-14,1.0331291377951857e-08,3.7572021243104103e-06
4,4.0,H,2187.4596551626164,-3.361740768067537e-05,2.85634885833835e-12,1.0331291377951857e-08,3.7572021243104103e-06
4,4.0,Na,14.75832164334032,-1.6109612057454768e-07,3.121733214369617e-14,1.0331291377951857e-08,3.7572021243104103e-06
4,4.0,O,1093.72982758131,-1.6808703839634554e-05,3.0190870250578882e-12,1.0331291377951857e-08,3.7572021243104103e-06
4,4.0,Zz,0.0,0.0,0.0,1.0331291377951857e-08,3.7572021243104103e-06
5,5.0,Cl,14.75832161717891,-1.872575298363109e-07,2.9663633611061015e-14,1.0629719326971099e-08,3.7572021360787744e-06
5,5.0,H,2187.459649703276,-3.90767494569544e-05,4.459808092488818e-12,1.0629719326971099e-08,3.7572021360787744e-06
5,5.0,Na,14.758321617178908,-1.8725752984729733e-07,2.7898263212503127e-14,1.0629719326971099e-08,3.7572021360787744e-06
5,5.0,O,1093.7298248516395,-1.953837472753969e-05,3.365834913842021e-12,1.0629719326971099e-08,3.7572021360787744e-06
5,5.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021360787744e-06
6,6.0,Cl,14.758321593930946,-2.105054964098655e-07,3.268294779955569e-14,1.0629719326971099e-08,3.757202131193793e-06
6,6.0,H,2187.4596448519114,-4.3928116165561135e-05,6.3758573954860766e-12,1.0629719326971099e-08,3.757202131193793e-06
6,6.0,Na,14.758321593930946,-2.1050549642451408e-07,3.26975963873455e-14,1.0629719326971099e-08,3.757202131193793e-06
6,6.0,O,1093.7298224259578,-2.196405808160868e-05,5.0057462142657095e-12,1.0629719326971099e-08,3.757202131193793e-06
6,6.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202131193793e-06
7,7.0,Cl,14.758321572918652,-2.3151779707302324e-07,3.9219229103001495e-14,1.0331291377951857e-08,3.7572021445164694e-06
7,7.0,H,2187.4596404670824,-4.831294614930667e-05,7.333508989957813e-12,1.0331291377951857e-08,3.7572021445164694e-06
7,7.0,Na,14.758321572918648,-2.3151779709133397e-07,3.5684826158938264e-14,1.0331291377951857e-08,3.7572021445164694e-06
7,7.0,O,1093.729820233543,-2.415647307324707e-05,5.2569639586537084e-12,1.0331291377951857e-08,3.7572021445164694e-06
7,7.0,Zz,0.0,0.0,0.0,1.0331291377951857e-08,3.7572021445164694e-06
8,8.0,Cl,14.758321553659865,-2.5077657744097837e-07,3.302168283966802e-14,1.0246026249660645e-08,3.757202127419035e-06
8,8.0,H,2187.459636448176,-5.233185284961608e-05,7.46805697523275e-12,1.0246026249660645e-08,3.757202127419035e-06
8,8.0,Na,14.758321553659863,-2.507765774592891e-07,3.126363673500504e-14,1.0246026249660645e-08,3.757202127419035e-06
8,8.0,O,1093.72981822409,-2.61659264231674e-05,5.551377249329772e-12,1.0246026249660645e-08,3.757202127419035e-06
8,8.0,Zz,0.0,0.0,0.0,1.0246026249660645e-08,3.757202127419035e-06
9,9.0,Cl,14.758321535805868,-2.6863058554649956e-07,4.3735578178696205e-14,1.0629719326971099e-08,3.757202140741711e-06
9,9.0,H,2187.459632722415,-5.605761282539704e-05,6.4818678514335336e-12,1.0629719326971099e-08,3.757202140741711e-06
9,9.0,Na,14.758321535805864,-2.68630585557486e-07,4.0193850940738066e-14,1.0629719326971099e-08,3.757202140741711e-06
9,9.0,O,1093.7298163612097,-2.80288064108235e-05,5.285421985468759e-12,1.0629719326971099e-08,3.757202140741711e-06
9,9.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202140741711e-06
10,10.0,Cl,14.758321519099914,-2.853365255691794e-07,2.980472497434613e-14,1.0629719326971099e-08,3.757202133414239e-06
10,10.0,H,2187.459629236235,-5.954379467121042e-05,8.279041582609677e-12,1.0629719326971099e-08,3.757202133414239e-06
10,10.0,Na,14.758321519099916,-2.8533652557833475e-07,3.159023718111501e-14,1.0629719326971099e-08,3.757202133414239e-06
