vtkOriginalIndices,Ca+2,Points:0,Points:1,Points:2,__vtkIsSelected__
0,8.94962e-06,0,0,0,1
1,0.00315573,0.01,0,0,1
2,0.00721099,0.02,0,0,1
3,0.0123539,0.03,0,0,1
4,0.0188067,0.04,0,0,1
5,0.0268532,0.05,0,0,1
6,0.0368613,0.06,0,0,1
7,0.0534594,0.07,0,0,1
8,0.0561285,0.08,0,0,1
9,0.0592813,0.09,0,0,1
10,0.0629775,0.1,0,0,1
11,0.0672667,0.11,0,0,1
12,0.0721936,0.12,0,0,1
13,0.0777977,0.13,0,0,1
14,0.0841128,0.14,0,0,1
15,0.0911661,0.15,0,0,1
16,0.098978,0.16,0,0,1
17,0.107562,0.17,0,0,1
18,0.116925,0.18,0,0,1
19,0.127068,0.19,0,0,1
20,0.13799,0.2,0,0,1
21,0.149689,0.21,0,0,1
22,0.16218,0.22,0,0,1
23,0.175483,0.23,0,0,1
24,0.189505,0.24,0,0,1
25,0.203672,0.25,0,0,1
26,0.216949,0.26,0,0,1
27,0.243263,0.27,0,0,1
28,0.227009,0.28,0,0,1
29,0.211916,0.29,0,0,1
30,0.200924,0.3,0,0,1
31,0.190785,0.31,0,0,1
32,0.181536,0.32,0,0,1
33,0.173169,0.33,0,0,1
34,0.165654,0.34,0,0,1
35,0.158943,0.35,0,0,1
36,0.152985,0.36,0,0,1
37,0.147726,0.37,0,0,1
38,0.143108,0.38,0,0,1
39,0.139074,0.39,0,0,1
40,0.135569,0.4,0,0,1
41,0.13254,0.41,0,0,1
42,0.129934,0.42,0,0,1
43,0.127704,0.43,0,0,1
44,0.125806,0.44,0,0,1
45,0.124198,0.45,0,0,1
46,0.122843,0.46,0,0,1
47,0.121708,0.47,0,0,1
48,0.120761,0.48,0,0,1
49,0.119976,0.49,0,0,1
50,0.119331,0.5,0,0,1
51,0.118799,0.51,0,0,1
52,0.118366,0.52,0,0,1
53,0.118014,0.53,0,0,1
54,0.117729,0.54,0,0,1
55,0.117501,0.55,0,0,1
56,0.117319,0.56,0,0,1
57,0.117174,0.57,0,0,1
58,0.11706,0.58,0,0,1
59,0.11697,0.59,0,0,1
60,0.1169,0.6,0,0,1
61,0.116846,0.61,0,0,1
62,0.116804,0.62,0,0,1
63,0.116772,0.63,0,0,1
64,0.116747,0.64,0,0,1
65,0.116728,0.65,0,0,1
66,0.116714,0.66,0,0,1
67,0.116703,0.67,0,0,1
68,0.116695,0.68,0,0,1
69,0.116689,0.69,0,0,1
70,0.116685,0.7,0,0,1
71,0.116681,0.71,0,0,1
72,0.116679,0.72,0,0,1
73,0.116677,0.73,0,0,1
74,0.116676,0.74,0,0,1
75,0.116675,0.75,0,0,1
76,0.116674,0.76,0,0,1
77,0.116674,0.77,0,0,1
78,0.116674,0.78,0,0,1
79,0.116673,0.79,0,0,1
80,0.116673,0.8,0,0,1
81,0.116673,0.81,0,0,1
82,0.116673,0.82,0,0,1
83,0.116673,0.83,0,0,1
84,0.116673,0.84,0,0,1
85,0.116673,0.85,0,0,1
86,0.116673,0.86,0,0,1
87,0.116673,0.87,0,0,1
88,0.116673,0.88,0,0,1
89,0.116673,0.89,0,0,1
90,0.116673,0.9,0,0,1
91,0.116673,0.91,0,0,1
92,0.116673,0.92,0,0,1
93,0.116673,0.93,0,0,1
94,0.116673,0.94,0,0,1
95,0.116673,0.95,0,0,1
96,0.116673,0.96,0,0,1
97,0.116673,0.97,0,0,1
98,0.116673,0.98,0,0,1
99,0.116673,0.99,0,0,1
100,0.116673,1,0,0,1
101,0.116673,1.01,0,0,1
102,0.116673,1.02,0,0,1
103,0.116673,1.03,0,0,1
104,0.116673,1.04,0,0,1
105,0.116673,1.05,0,0,1
106,0.116673,1.06,0,0,1
107,0.116673,1.07,0,0,1
108,0.116673,1.08,0,0,1
109,0.116673,1.09,0,0,1
110,0.116673,1.1,0,0,1
111,0.116673,1.11,0,0,1
112,0.116673,1.12,0,0,1
113,0.116673,1.13,0,0,1
114,0.116673,1.14,0,0,1
115,0.116673,1.15,0,0,1
116,0.116674,1.16,0,0,1
117,0.116674,1.17,0,0,1
118,0.116675,1.18,0,0,1
119,0.116676,1.19,0,0,1
120,0.116677,1.2,0,0,1
121,0.116679,1.21,0,0,1
122,0.116682,1.22,0,0,1
123,0.116687,1.23,0,0,1
124,0.116693,1.24,0,0,1
125,0.116703,1.25,0,0,1
126,0.116717,1.26,0,0,1
127,0.116737,1.27,0,0,1
128,0.116766,1.28,0,0,1
129,0.116807,1.29,0,0,1
130,0.116866,1.3,0,0,1
131,0.116948,1.31,0,0,1
132,0.117064,1.32,0,0,1
133,0.117226,1.33,0,0,1
134,0.117451,1.34,0,0,1
135,0.117765,1.35,0,0,1
136,0.118198,1.36,0,0,1
137,0.118796,1.37,0,0,1
138,0.119616,1.38,0,0,1
139,0.120738,1.39,0,0,1
140,0.122269,1.4,0,0,1
141,0.12435,1.41,0,0,1
142,0.127173,1.42,0,0,1
143,0.130989,1.43,0,0,1
144,0.136136,1.44,0,0,1
145,0.143063,1.45,0,0,1
146,0.152363,1.46,0,0,1
147,0.164824,1.47,0,0,1
148,0.181491,1.48,0,0,1
149,0.203746,1.49,0,0,1
150,0.203746,1.5,0,0,1
