vtkOriginalIndices,Calcite,Points:0,Points:1,Points:2,__vtkIsSelected__
0,6.15581e-19,0,0,0,1
1,1.24005e-18,0.01,0,0,1
2,1.5863e-18,0.02,0,0,1
3,1.96374e-18,0.03,0,0,1
4,2.42803e-18,0.04,0,0,1
5,3.05076e-18,0.05,0,0,1
6,3.96816e-18,0.06,0,0,1
7,6.27863e-18,0.07,0,0,1
8,6.41705e-18,0.08,0,0,1
9,6.5813e-18,0.09,0,0,1
10,6.77542e-18,0.1,0,0,1
11,7.0038e-18,0.11,0,0,1
12,7.2716e-18,0.12,0,0,1
13,7.58523e-18,0.13,0,0,1
14,7.95286e-18,0.14,0,0,1
15,8.38524e-18,0.15,0,0,1
16,8.89692e-18,0.16,0,0,1
17,9.50813e-18,0.17,0,0,1
18,1.02479e-17,0.18,0,0,1
19,1.11594e-17,0.19,0,0,1
20,1.23097e-17,0.2,0,0,1
21,1.38097e-17,0.21,0,0,1
22,1.58562e-17,0.22,0,0,1
23,1.88349e-17,0.23,0,0,1
24,2.35885e-17,0.24,0,0,1
25,3.224e-17,0.25,0,0,1
26,5.21708e-17,0.26,0,0,1
27,0.086093,0.27,0,0,1
28,0.194472,0.28,0,0,1
29,0.219943,0.29,0,0,1
30,0.220462,0.3,0,0,1
31,0.220281,0.31,0,0,1
32,0.219915,0.32,0,0,1
33,0.219531,0.33,0,0,1
34,0.219178,0.34,0,0,1
35,0.218872,0.35,0,0,1
36,0.218615,0.36,0,0,1
37,0.218403,0.37,0,0,1
38,0.218232,0.38,0,0,1
39,0.218096,0.39,0,0,1
40,0.217991,0.4,0,0,1
41,0.21791,0.41,0,0,1
42,0.217849,0.42,0,0,1
43,0.217803,0.43,0,0,1
44,0.21777,0.44,0,0,1
45,0.217746,0.45,0,0,1
46,0.217729,0.46,0,0,1
47,0.217717,0.47,0,0,1
48,0.217709,0.48,0,0,1
49,0.217706,0.49,0,0,1
50,0.217692,0.5,0,0,1
51,0.217692,0.51,0,0,1
52,0.217692,0.52,0,0,1
53,0.217692,0.53,0,0,1
54,0.217692,0.54,0,0,1
55,0.217692,0.55,0,0,1
56,0.217692,0.56,0,0,1
57,0.217692,0.57,0,0,1
58,0.217692,0.58,0,0,1
59,0.217692,0.59,0,0,1
60,0.217692,0.6,0,0,1
61,0.217692,0.61,0,0,1
62,0.217692,0.62,0,0,1
63,0.217692,0.63,0,0,1
64,0.217692,0.64,0,0,1
65,0.217692,0.65,0,0,1
66,0.217692,0.66,0,0,1
67,0.217692,0.67,0,0,1
68,0.217692,0.68,0,0,1
69,0.217692,0.69,0,0,1
70,0.217692,0.7,0,0,1
71,0.217692,0.71,0,0,1
72,0.217692,0.72,0,0,1
73,0.217692,0.73,0,0,1
74,0.217692,0.74,0,0,1
75,0.217692,0.75,0,0,1
76,0.217692,0.76,0,0,1
77,0.217692,0.77,0,0,1
78,0.217692,0.78,0,0,1
79,0.217692,0.79,0,0,1
80,0.217692,0.8,0,0,1
81,0.217692,0.81,0,0,1
82,0.217692,0.82,0,0,1
83,0.217692,0.83,0,0,1
84,0.217692,0.84,0,0,1
85,0.217692,0.85,0,0,1
86,0.217692,0.86,0,0,1
87,0.217692,0.87,0,0,1
88,0.217692,0.88,0,0,1
89,0.217692,0.89,0,0,1
90,0.217692,0.9,0,0,1
91,0.217692,0.91,0,0,1
92,0.217692,0.92,0,0,1
93,0.217692,0.93,0,0,1
94,0.217692,0.94,0,0,1
95,0.217692,0.95,0,0,1
96,0.217692,0.96,0,0,1
97,0.217692,0.97,0,0,1
98,0.217692,0.98,0,0,1
99,0.217692,0.99,0,0,1
100,0.217692,1,0,0,1
101,0.217692,1.01,0,0,1
102,0.217692,1.02,0,0,1
103,0.217692,1.03,0,0,1
104,0.217692,1.04,0,0,1
105,0.217692,1.05,0,0,1
106,0.217692,1.06,0,0,1
107,0.217692,1.07,0,0,1
108,0.217692,1.08,0,0,1
109,0.217692,1.09,0,0,1
110,0.217692,1.1,0,0,1
111,0.217692,1.11,0,0,1
112,0.217692,1.12,0,0,1
113,0.217692,1.13,0,0,1
114,0.217692,1.14,0,0,1
115,0.217692,1.15,0,0,1
116,0.217692,1.16,0,0,1
117,0.217692,1.17,0,0,1
118,0.217692,1.18,0,0,1
119,0.217692,1.19,0,0,1
120,0.217692,1.2,0,0,1
121,0.217692,1.21,0,0,1
122,0.217692,1.22,0,0,1
123,0.217692,1.23,0,0,1
124,0.217692,1.24,0,0,1
125,0.217692,1.25,0,0,1
126,0.217692,1.26,0,0,1
127,0.217692,1.27,0,0,1
128,0.217692,1.28,0,0,1
129,0.217692,1.29,0,0,1
130,0.217692,1.3,0,0,1
131,0.217692,1.31,0,0,1
132,0.217692,1.32,0,0,1
133,0.217692,1.33,0,0,1
134,0.217692,1.34,0,0,1
135,0.217692,1.35,0,0,1
136,0.217692,1.36,0,0,1
137,0.217692,1.37,0,0,1
138,0.217692,1.38,0,0,1
139,0.217692,1.39,0,0,1
140,0.217692,1.4,0,0,1
141,0.217692,1.41,0,0,1
142,0.217692,1.42,0,0,1
143,0.217692,1.43,0,0,1
144,0.217692,1.44,0,0,1
145,0.217692,1.45,0,0,1
146,0.217692,1.46,0,0,1
147,0.217692,1.47,0,0,1
148,0.217692,1.48,0,0,1
149,0.217692,1.49,0,0,1
150,0.217692,1.5,0,0,1
