vtkOriginalIndices,Cl-,Points:0,Points:1,Points:2,__vtkIsSelected__
0,2,0,0,0,1
1,1.99195,0.01,0,0,1
2,1.98167,0.02,0,0,1
3,1.96886,0.03,0,0,1
4,1.95323,0.04,0,0,1
5,1.93447,0.05,0,0,1
6,1.91234,0.06,0,0,1
7,1.88658,0.07,0,0,1
8,1.85698,0.08,0,0,1
9,1.82339,0.09,0,0,1
10,1.78569,0.1,0,0,1
11,1.74383,0.11,0,0,1
12,1.69784,0.12,0,0,1
13,1.64778,0.13,0,0,1
14,1.59383,0.14,0,0,1
15,1.53619,0.15,0,0,1
16,1.47519,0.16,0,0,1
17,1.41116,0.17,0,0,1
18,1.34453,0.18,0,0,1
19,1.27577,0.19,0,0,1
20,1.20538,0.2,0,0,1
21,1.13391,0.21,0,0,1
22,1.06191,0.22,0,0,1
23,0.989924,0.23,0,0,1
24,0.918512,0.24,0,0,1
25,0.848201,0.25,0,0,1
26,0.779487,0.26,0,0,1
27,0.712827,0.27,0,0,1
28,0.648631,0.28,0,0,1
29,0.58725,0.29,0,0,1
30,0.528979,0.3,0,0,1
31,0.474051,0.31,0,0,1
32,0.422633,0.32,0,0,1
33,0.374834,0.33,0,0,1
34,0.330704,0.34,0,0,1
35,0.290236,0.35,0,0,1
36,0.253378,0.36,0,0,1
37,0.22003,0.37,0,0,1
38,0.190058,0.38,0,0,1
39,0.163296,0.39,0,0,1
40,0.139556,0.4,0,0,1
41,0.118632,0.41,0,0,1
42,0.100308,0.42,0,0,1
43,0.0843629,0.43,0,0,1
44,0.0705751,0.44,0,0,1
45,0.058727,0.45,0,0,1
46,0.0486087,0.46,0,0,1
47,0.0400207,0.47,0,0,1
48,0.032776,0.48,0,0,1
49,0.0267014,0.49,0,0,1
50,0.0216383,0.5,0,0,1
51,0.0174436,0.51,0,0,1
52,0.0139886,0.52,0,0,1
53,0.0111597,0.53,0,0,1
54,0.00885682,0.54,0,0,1
55,0.00699293,0.55,0,0,1
56,0.00549296,0.56,0,0,1
57,0.00429271,0.57,0,0,1
58,0.00333768,0.58,0,0,1
59,0.002582,0.59,0,0,1
60,0.00198737,0.6,0,0,1
61,0.00152204,0.61,0,0,1
62,0.00115986,0.62,0,0,1
63,0.000879497,0.63,0,0,1
64,0.000663624,0.64,0,0,1
65,0.000498291,0.65,0,0,1
66,0.000372332,0.66,0,0,1
67,0.00027687,0.67,0,0,1
68,0.000204896,0.68,0,0,1
69,0.00015091,0.69,0,0,1
70,0.000110622,0.7,0,0,1
71,8.07083e-05,0.71,0,0,1
72,5.86086e-05,0.72,0,0,1
73,4.2363e-05,0.73,0,0,1
74,3.04794e-05,0.74,0,0,1
75,2.1829e-05,0.75,0,0,1
76,1.55627e-05,0.76,0,0,1
77,1.10452e-05,0.77,0,0,1
78,7.80395e-06,0.78,0,0,1
79,5.48934e-06,0.79,0,0,1
80,3.84419e-06,0.8,0,0,1
81,2.6803e-06,0.81,0,0,1
82,1.86068e-06,0.82,0,0,1
83,1.28612e-06,0.83,0,0,1
84,8.8517e-07,0.84,0,0,1
85,6.0663e-07,0.85,0,0,1
86,4.13986e-07,0.86,0,0,1
87,2.81337e-07,0.87,0,0,1
88,1.90397e-07,0.88,0,0,1
89,1.28323e-07,0.89,0,0,1
90,8.61325e-08,0.9,0,0,1
91,5.75795e-08,0.91,0,0,1
92,3.83372e-08,0.92,0,0,1
93,2.54237e-08,0.93,0,0,1
94,1.67934e-08,0.94,0,0,1
95,1.10494e-08,0.95,0,0,1
96,7.24201e-09,0.96,0,0,1
97,4.72843e-09,0.97,0,0,1
98,3.07568e-09,0.98,0,0,1
99,1.99326e-09,0.99,0,0,1
100,1.28715e-09,1,0,0,1
101,8.28326e-10,1.01,0,0,1
102,5.31336e-10,1.02,0,0,1
103,3.39838e-10,1.03,0,0,1
104,2.16829e-10,1.04,0,0,1
105,1.38113e-10,1.05,0,0,1
106,8.79283e-11,1.06,0,0,1
107,5.60525e-11,1.07,0,0,1
108,3.58802e-11,1.08,0,0,1
109,2.31609e-11,1.09,0,0,1
110,1.51698e-11,1.1,0,0,1
111,1.01673e-11,1.11,0,0,1
112,7.04678e-12,1.12,0,0,1
113,5.10708e-12,1.13,0,0,1
114,3.90557e-12,1.14,0,0,1
115,3.16389e-12,1.15,0,0,1
116,2.70763e-12,1.16,0,0,1
117,2.42791e-12,1.17,0,0,1
118,2.25701e-12,1.18,0,0,1
119,2.15294e-12,1.19,0,0,1
120,2.08979e-12,1.2,0,0,1
121,2.0516e-12,1.21,0,0,1
122,2.02861e-12,1.22,0,0,1
123,2.01484e-12,1.23,0,0,1
124,2.00665e-12,1.24,0,0,1
125,2.00186e-12,1.25,0,0,1
126,1.99915e-12,1.26,0,0,1
127,1.99774e-12,1.27,0,0,1
128,1.9972e-12,1.28,0,0,1
129,1.99729e-12,1.29,0,0,1
130,1.99793e-12,1.3,0,0,1
131,1.99913e-12,1.31,0,0,1
132,2.00098e-12,1.32,0,0,1
133,2.00368e-12,1.33,0,0,1
134,2.00749e-12,1.34,0,0,1
135,2.01283e-12,1.35,0,0,1
136,2.02022e-12,1.36,0,0,1
137,2.03042e-12,1.37,0,0,1
138,2.04444e-12,1.38,0,0,1
139,2.06362e-12,1.39,0,0,1
140,2.08978e-12,1.4,0,0,1
141,2.12535e-12,1.41,0,0,1
142,2.17359e-12,1.42,0,0,1
143,2.23881e-12,1.43,0,0,1
144,2.32679e-12,1.44,0,0,1
145,2.44518e-12,1.45,0,0,1
146,2.60413e-12,1.46,0,0,1
147,2.81711e-12,1.47,0,0,1
148,3.10198e-12,1.48,0,0,1
149,3.48235e-12,1.49,0,0,1
150,3.48235e-12,1.5,0,0,1
