vtkOriginalIndices,Dolomite-ord,Points:0,Points:1,Points:2,__vtkIsSelected__
0,4.86234e-19,0,0,0,1
1,9.92702e-19,0.01,0,0,1
2,1.35434e-18,0.02,0,0,1
3,1.81687e-18,0.03,0,0,1
4,2.51055e-18,0.04,0,0,1
5,3.75129e-18,0.05,0,0,1
6,6.7757e-18,0.06,0,0,1
7,0.0137584,0.07,0,0,1
8,0.0969492,0.08,0,0,1
9,0.12238,0.09,0,0,1
10,0.129546,0.1,0,0,1
11,0.13079,0.11,0,0,1
12,0.130308,0.12,0,0,1
13,0.129272,0.13,0,0,1
14,0.128202,0.14,0,0,1
15,0.126999,0.15,0,0,1
16,0.125935,0.16,0,0,1
17,0.12481,0.17,0,0,1
18,0.123692,0.18,0,0,1
19,0.122577,0.19,0,0,1
20,0.121452,0.2,0,0,1
21,0.120264,0.21,0,0,1
22,0.118992,0.22,0,0,1
23,0.117584,0.23,0,0,1
24,0.115956,0.24,0,0,1
25,0.114013,0.25,0,0,1
26,0.111692,0.26,0,0,1
27,0.0671268,0.27,0,0,1
28,0.0126394,0.28,0,0,1
29,3.32502e-15,0.29,0,0,1
30,2.00592e-16,0.3,0,0,1
31,9.71995e-17,0.31,0,0,1
32,6.13307e-17,0.32,0,0,1
33,4.32933e-17,0.33,0,0,1
34,3.25682e-17,0.34,0,0,1
35,2.55443e-17,0.35,0,0,1
36,2.06436e-17,0.36,0,0,1
37,1.7067e-17,0.37,0,0,1
38,1.43672e-17,0.38,0,0,1
39,1.2275e-17,0.39,0,0,1
40,1.06186e-17,0.4,0,0,1
41,9.28416e-18,0.41,0,0,1
42,8.19282e-18,0.42,0,0,1
43,7.28878e-18,0.43,0,0,1
44,6.53143e-18,0.44,0,0,1
45,5.89061e-18,0.45,0,0,1
46,5.34353e-18,0.46,0,0,1
47,4.8727e-18,0.47,0,0,1
48,4.46451e-18,0.48,0,0,1
49,4.10824e-18,0.49,0,0,1
50,3.96622e-19,0.5,0,0,1
51,3.96622e-19,0.51,0,0,1
52,3.96622e-19,0.52,0,0,1
53,3.96622e-19,0.53,0,0,1
54,3.96622e-19,0.54,0,0,1
55,3.96622e-19,0.55,0,0,1
56,3.96622e-19,0.56,0,0,1
57,3.96622e-19,0.57,0,0,1
58,3.96622e-19,0.58,0,0,1
59,3.96622e-19,0.59,0,0,1
60,3.96622e-19,0.6,0,0,1
61,3.96622e-19,0.61,0,0,1
62,3.96622e-19,0.62,0,0,1
63,3.96622e-19,0.63,0,0,1
64,3.96622e-19,0.64,0,0,1
65,3.96622e-19,0.65,0,0,1
66,3.96622e-19,0.66,0,0,1
67,3.96622e-19,0.67,0,0,1
68,3.96622e-19,0.68,0,0,1
69,3.96622e-19,0.69,0,0,1
70,3.96622e-19,0.7,0,0,1
71,3.96622e-19,0.71,0,0,1
72,3.96622e-19,0.72,0,0,1
73,3.96622e-19,0.73,0,0,1
74,3.96622e-19,0.74,0,0,1
75,3.96622e-19,0.75,0,0,1
