vtkOriginalIndices,Mg+2,Points:0,Points:1,Points:2,__vtkIsSelected__
0,1.00019,0,0,0,1
1,0.997015,0.01,0,0,1
2,0.99287,0.02,0,0,1
3,0.98764,0.03,0,0,1
4,0.981244,0.04,0,0,1
5,0.973662,0.05,0,0,1
6,0.964968,0.06,0,0,1
7,0.958156,0.07,0,0,1
8,0.939192,0.08,0,0,1
9,0.917718,0.09,0,0,1
10,0.89364,0.1,0,0,1
11,0.866913,0.11,0,0,1
12,0.83753,0.12,0,0,1
13,0.805526,0.13,0,0,1
14,0.770977,0.14,0,0,1
15,0.733998,0.15,0,0,1
16,0.694746,0.16,0,0,1
17,0.653414,0.17,0,0,1
18,0.610229,0.18,0,0,1
19,0.565449,0.19,0,0,1
20,0.519356,0.2,0,0,1
21,0.472247,0.21,0,0,1
22,0.424422,0.22,0,0,1
23,0.376186,0.23,0,0,1
24,0.327984,0.24,0,0,1
25,0.280771,0.25,0,0,1
26,0.235968,0.26,0,0,1
27,0.180336,0.27,0,0,1
28,0.168287,0.28,0,0,1
29,0.156627,0.29,0,0,1
30,0.141706,0.3,0,0,1
31,0.127606,0.31,0,0,1
32,0.114329,0.32,0,0,1
33,0.101898,0.33,0,0,1
34,0.0903356,0.34,0,0,1
35,0.0796584,0.35,0,0,1
36,0.0698681,0.36,0,0,1
37,0.0609535,0.37,0,0,1
38,0.0528919,0.38,0,0,1
39,0.0456508,0.39,0,0,1
40,0.0391902,0.4,0,0,1
41,0.0334636,0.41,0,0,1
42,0.0284209,0.42,0,0,1
43,0.0240089,0.43,0,0,1
44,0.0201733,0.44,0,0,1
45,0.0168599,0.45,0,0,1
46,0.0140155,0.46,0,0,1
47,0.0115889,0.47,0,0,1
48,0.00953151,0.48,0,0,1
49,0.00779775,0.49,0,0,1
50,0.0063463,0.5,0,0,1
51,0.0051374,0.51,0,0,1
52,0.00413685,0.52,0,0,1
53,0.00331367,0.53,0,0,1
54,0.0026404,0.54,0,0,1
55,0.00209298,0.55,0,0,1
56,0.00165045,0.56,0,0,1
57,0.00129477,0.57,0,0,1
58,0.00101053,0.58,0,0,1
59,0.00078466,0.59,0,0,1
60,0.000606182,0.6,0,0,1
61,0.000465935,0.61,0,0,1
62,0.000356338,0.62,0,0,1
63,0.000271159,0.63,0,0,1
64,0.000205318,0.64,0,0,1
65,0.000154697,0.65,0,0,1
66,0.000115985,0.66,0,0,1
67,8.6537e-05,0.67,0,0,1
68,6.42533e-05,0.68,0,0,1
69,4.74784e-05,0.69,0,0,1
70,3.49155e-05,0.7,0,0,1
71,2.55549e-05,0.71,0,0,1
72,1.86157e-05,0.72,0,0,1
73,1.34974e-05,0.73,0,0,1
74,9.74086e-06,0.74,0,0,1
