step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
0,0.0,C,0.05230994772015429,0.0,0.0,1.3552527156068805e-17,1.5455583861345712e-08
0,0.0,Ca,0.05230994772015429,0.0,0.0,1.3552527156068805e-17,1.5455583861345712e-08
0,0.0,Cl,3.190603703577528e-13,0.0,0.0,1.3552527156068805e-17,1.5455583861345712e-08
0,0.0,H,17710.522152250735,0.0,0.0,1.3552527156068805e-17,1.5455583861345712e-08
0,0.0,Mg,1.595301851788764e-13,0.0,0.0,1.3552527156068805e-17,1.5455583861345712e-08
0,0.0,Zz,0.0,0.0,0.0,1.3552527156068805e-17,1.5455583861345712e-08
1,200.0,C,0.05218389813206999,-0.000126049588083481,-8.18599745280868e-16,2.9581185572781005e-09,1.5440332810923163e-06
1,200.0,Ca,0.05218389813206981,-0.00012604958808348099,-9.99038091836768e-16,2.9581185572781005e-09,1.5440332810923163e-06
1,200.0,Cl,0.002062621818075636,0.0020626218177564846,9.107298248878237e-17,2.9581185572781005e-09,1.5440332810923163e-06
1,200.0,H,17710.520439313532,-0.0017129371872499632,-1.5432988220709376e-11,2.9581185572781005e-09,1.5440332810923163e-06
1,200.0,Mg,0.0010313109090378182,0.001031310908878243,4.5102810375396984e-17,2.9581185572781005e-09,1.5440332810923163e-06
1,200.0,Zz,0.0,0.0,0.0,2.9581185572781005e-09,1.5440332810923163e-06
2,400.0,C,0.05206213059412595,-0.0002478171260284948,1.4994516045474526e-16,4.760636329592671e-10,2.2765215971012887e-06
2,400.0,Ca,0.05203959110293034,-0.00027035661722408063,1.2874900798265365e-16,4.760636329592671e-10,2.2765215971012887e-06
2,400.0,Cl,0.0035287037394141738,0.003528703739095039,7.45931094670027e-17,4.760636329592671e-10,2.2765215971012887e-06
2,400.0,H,17710.519221782404,-0.0029304683023099187,-2.7995383788947947e-11,4.760636329592671e-10,2.2765215971012887e-06
2,400.0,Mg,0.001786891360902674,0.001786891360743106,3.7730235602495554e-17,4.760636329592671e-10,2.2765215971012887e-06
2,400.0,Zz,0.0,0.0,0.0,4.760636329592671e-10,2.2765215971012887e-06
3,600.0,C,0.05193674514382842,-0.0003732025763259026,3.0574501264091225e-17,7.105427357601002e-12,2.088352585652431e-06
3,600.0,Ca,0.051922943428453536,-0.00038700429170079447,3.735076484212563e-17,7.105427357601002e-12,2.088352585652431e-06
3,600.0,Cl,0.004862328779571494,0.004862328779252384,4.9439619065339e-17,7.105427357601002e-12,2.088352585652431e-06
3,600.0,H,17710.518114252187,-0.004037998487646632,-5.992717433400685e-11,7.105427357601002e-12,2.088352585652431e-06
3,600.0,Mg,0.002444966105160646,0.002444966105001084,3.165870343657673e-17,7.105427357601002e-12,2.088352585652431e-06
3,600.0,Zz,0.0,0.0,0.0,7.105427357601002e-12,2.088352585652431e-06
4,800.0,C,0.051834767435059825,-0.0004751802850944708,3.2526065174565133e-18,3.0812312645755967e-09,1.991898645331558e-06
4,800.0,Ca,0.051825317053237306,-0.00048463066691698165,-5.041540102057596e-18,3.0812312645755967e-09,1.991898645331558e-06
4,800.0,Cl,0.006141343816629328,0.006141343816310231,3.642919299551295e-17,3.0812312645755967e-09,1.991898645331558e-06
4,800.0,H,17710.51705207374,-0.005100176924401012,-6.903633220645133e-11,3.0812312645755967e-09,1.991898645331558e-06
4,800.0,Mg,0.003080122290137178,0.0030801222899776272,2.0383000842727483e-17,3.0812312645755967e-09,1.991898645331558e-06
4,800.0,Zz,0.0,0.0,0.0,3.0812312645755967e-09,1.991898645331558e-06
5,1000.0,C,0.0517442601876076,-0.0005656875325466276,-6.19079440489223e-17,7.105427357601002e-12,1.9931280013582575e-06
5,1000.0,Ca,0.051736941669451086,-0.0005730060507031356,-7.079840186330344e-17,7.105427357601002e-12,1.9931280013582575e-06
5,1000.0,Cl,0.0073919326884298794,0.007391932688110798,2.0816681711721685e-17,7.105427357601002e-12,1.9931280013582575e-06
5,1000.0,H,17710.516013502256,-0.0061387483987118685,-7.969447324285284e-11,7.105427357601002e-12,1.9931280013582575e-06
5,1000.0,Mg,0.0037032848623714423,0.003703284862211908,3.903127820947816e-18,7.105427357601002e-12,1.9931280013582575e-06
5,1000.0,Zz,0.0,0.0,0.0,7.105427357601002e-12,1.9931280013582575e-06
6,1200.0,C,0.05165937363429555,-0.0006505740858586712,-7.35089072945172e-17,2.2239987629291136e-09,2.0988537316121714e-06
6,1200.0,Ca,0.05165341246887876,-0.0006565352512754557,-7.914675859144182e-17,2.2239987629291136e-09,2.0988537316121714e-06
6,1200.0,Cl,0.008625913602068056,0.008625913601749018,-2.2551405187698492e-17,2.2239987629291136e-09,2.0988537316121714e-06
6,1200.0,H,17710.514988723124,-0.0071635275290447,-8.178346888598753e-11,2.2239987629291136e-09,2.0988537316121714e-06
6,1200.0,Mg,0.004318917966450821,0.004318917966291295,-4.336808689942018e-18,2.2239987629291136e-09,2.0988537316121714e-06
6,1200.0,Zz,0.0,0.0,0.0,2.2239987629291136e-09,2.0988537316121714e-06
7,1400.0,C,0.05157777617595723,-0.0007321715441968374,-2.286582381771929e-16,1.4921397450962104e-09,2.095487004055707e-06
7,1400.0,Ca,0.0515728176299073,-0.0007371300902467567,-2.362476533845914e-16,1.4921397450962104e-09,2.095487004055707e-06
7,1400.0,Cl,0.009849491220858576,0.009849491220539547,-3.122502256758253e-17,1.4921397450962104e-09,2.095487004055707e-06
7,1400.0,H,17710.51397258356,-0.008179667076987585,-9.596590189175913e-11,1.4921397450962104e-09,2.095487004055707e-06
7,1400.0,Mg,0.004929704156479209,0.004929704156319694,-1.5612511283791264e-17,1.4921397450962104e-09,2.095487004055707e-06
7,1400.0,Zz,0.0,0.0,0.0,1.4921397450962104e-09,2.095487004055707e-06
8,1600.0,C,0.05149831260128852,-0.0008116351188655757,-1.9374692822315964e-16,1.0089706847793423e-09,2.0998181846088038e-06
8,1600.0,Ca,0.05149414763096598,-0.0008158000891881061,-2.0881733842070815e-16,1.0089706847793423e-09,2.0998181846088038e-06
8,1600.0,Cl,0.011066239814627711,0.01106623981430872,-6.938893903907228e-17,1.0089706847793423e-09,2.0998181846088038e-06
8,1600.0,H,17710.512962115274,-0.009190135352085349,-1.0872724942601053e-10,1.0089706847793423e-09,2.0998181846088038e-06
8,1600.0,Mg,0.005537284877636379,0.005537284877476892,-4.336808689942018e-17,1.0089706847793423e-09,2.0998181846088038e-06
8,1600.0,Zz,0.0,0.0,0.0,1.0089706847793423e-09,2.0998181846088038e-06
9,1800.0,C,0.05142032359720778,-0.0008896241229462269,-2.8579569266717897e-16,7.105427357601002e-12,2.175392106902596e-06
9,1800.0,Ca,0.05141680975172579,-0.000893137968428211,-2.9522825156780286e-16,7.105427357601002e-12,2.175392106902596e-06
9,1800.0,Cl,0.012278352078706341,0.012278352078387383,-1.0234868508263162e-16,7.105427357601002e-12,2.175392106902596e-06
9,1800.0,H,17710.5119554973,-0.01019675331298231,-1.226112544827629e-10,7.105427357601002e-12,2.175392106902596e-06
9,1800.0,Mg,0.006142689884835164,0.006142689884675678,-4.423544863740858e-17,7.105427357601002e-12,2.175392106902596e-06
9,1800.0,Zz,0.0,0.0,0.0,7.105427357601002e-12,2.175392106902596e-06
10,2000.0,C,0.05134340002679096,-0.0009665476933629186,-4.115631446754975e-16,1.098479938073792e-09,2.177830030029859e-06
10,2000.0,Ca,0.05134042901827946,-0.0009695187018744194,-4.122136659789888e-16,1.098479938073792e-09,2.177830030029859e-06
10,2000.0,Cl,0.013487235651517543,0.01348723565119862,-1.3704315460216776e-16,1.098479938073792e-09,2.177830030029859e-06
10,2000.0,H,17710.510951560645,-0.011200689955458643,-1.3356782346818363e-10,1.098479938073792e-09,2.177830030029859e-06
