step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
0,0.0,Al,389.85221435152386,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,C,3494.2965745589745,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,Ca,3446.817206508209,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,Cl,43.66586919611056,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,H,29152.597208634765,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,Mg,68.22369190552573,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,Na,43.66586919611056,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,O,34819.6427034116,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,Si,4577.465865017619,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
0,0.0,Zz,0.0,0.0,0.0,5.637886602016806e-06,6.929530376733071e-10
1,10000.0,Al,389.8522143515239,0.0,5.684341886080802e-14,2.7084126941190334e-05,0.000269407534604939
1,10000.0,C,3494.2965745589745,0.0,0.0,2.7084126941190334e-05,0.000269407534604939
1,10000.0,Ca,3446.8172065082085,0.0,-4.547473508864641e-13,2.7084126941190334e-05,0.000269407534604939
1,10000.0,Cl,43.665869196110535,0.0,-2.842170943040401e-14,2.7084126941190334e-05,0.000269407534604939
1,10000.0,H,29152.59720863477,0.0,3.637978807091713e-12,2.7084126941190334e-05,0.000269407534604939
1,10000.0,Mg,68.22369190552578,0.0,5.684341886080802e-14,2.7084126941190334e-05,0.000269407534604939
1,10000.0,Na,43.665869196110535,0.0,-2.842170943040401e-14,2.7084126941190334e-05,0.000269407534604939
1,10000.0,O,34819.642703411584,0.0,-1.4551915228366852e-11,2.7084126941190334e-05,0.000269407534604939
1,10000.0,Si,4577.465865017611,0.0,-8.185452315956354e-12,2.7084126941190334e-05,0.000269407534604939
1,10000.0,Zz,0.0,0.0,0.0,2.7084126941190334e-05,0.000269407534604939
2,20000.0,Al,389.85221435152386,0.0,0.0,1.774859725856004e-05,0.0004101033637738749
2,20000.0,C,3494.296574558974,0.0,-4.547473508864641e-13,1.774859725856004e-05,0.0004101033637738749
2,20000.0,Ca,3446.817206508209,0.0,0.0,1.774859725856004e-05,0.0004101033637738749
2,20000.0,Cl,43.66586919611058,0.0,1.4210854715202004e-14,1.774859725856004e-05,0.0004101033637738749
2,20000.0,H,29152.597208634827,0.0,6.184563972055912e-11,1.774859725856004e-05,0.0004101033637738749
2,20000.0,Mg,68.22369190552578,0.0,5.684341886080802e-14,1.774859725856004e-05,0.0004101033637738749
2,20000.0,Na,43.66586919611058,0.0,1.4210854715202004e-14,1.774859725856004e-05,0.0004101033637738749
2,20000.0,O,34819.64270341157,0.0,-2.9103830456733704e-11,1.774859725856004e-05,0.0004101033637738749
2,20000.0,Si,4577.465865017609,0.0,-1.000444171950221e-11,1.774859725856004e-05,0.0004101033637738749
2,20000.0,Zz,0.0,0.0,0.0,1.774859725856004e-05,0.0004101033637738749
3,30000.0,Al,389.85221435152397,0.0,1.1368683772161603e-13,1.897855383958813e-05,0.00048666643225353637
3,30000.0,C,3494.2965745589727,0.0,-1.8189894035458565e-12,1.897855383958813e-05,0.00048666643225353637
3,30000.0,Ca,3446.8172065082085,0.0,-4.547473508864641e-13,1.897855383958813e-05,0.00048666643225353637
3,30000.0,Cl,43.665869196110584,0.0,2.1316282072803006e-14,1.897855383958813e-05,0.00048666643225353637
3,30000.0,H,29152.597208634823,0.0,5.820766091346741e-11,1.897855383958813e-05,0.00048666643225353637
3,30000.0,Mg,68.22369190552577,0.0,4.263256414560601e-14,1.897855383958813e-05,0.00048666643225353637
3,30000.0,Na,43.66586919611057,0.0,7.105427357601002e-15,1.897855383958813e-05,0.00048666643225353637
3,30000.0,O,34819.64270341157,0.0,-2.9103830456733704e-11,1.897855383958813e-05,0.00048666643225353637
3,30000.0,Si,4577.465865017607,0.0,-1.1823431123048067e-11,1.897855383958813e-05,0.00048666643225353637
3,30000.0,Zz,0.0,0.0,0.0,1.897855383958813e-05,0.00048666643225353637
